season,matchday,match,home,guest,homegoals,guestgoals
2015/16,12,7,Darmstadt,HSV,1,1
2015/16,12,8,Dortmund,Schalke,3,2
2015/16,12,9,Augsburg,Bremen,1,2
2015/16,11,1,E. Frankfurt,Bayern,0,0
2015/16,11,2,Schalke,Ingolstadt,1,1
2015/16,11,3,Augsburg,Mainz,3,3
2015/16,11,4,Bremen,Dortmund,1,3
2015/16,11,5,Köln,Hoffenheim,0,0
2015/16,11,6,Hertha,Gladbach,1,4
2015/16,11,7,Wolfsburg,Leverkusen,2,1
2015/16,11,8,Stuttgart,Darmstadt,2,0
2015/16,11,9,HSV,Hannover,1,2
2015/16,10,1,Hoffenheim,HSV,0,1
2015/16,10,2,Bayern,Köln,4,0
2015/16,10,3,Leverkusen,Stuttgart,4,3
2015/16,10,4,Hannover,E. Frankfurt,1,2
2015/16,10,5,Mainz,Bremen,1,3
2015/16,10,6,Darmstadt,Wolfsburg,0,1
2015/16,10,7,Ingolstadt,Hertha,0,1
2015/16,10,8,Dortmund,Augsburg,5,1
2015/16,10,9,Gladbach,Schalke,3,1
2015/16,9,1,Mainz,Dortmund,0,2
2015/16,9,2,Schalke,Hertha,2,1
2015/16,9,3,Wolfsburg,Hoffenheim,4,2
2015/16,9,4,HSV,Leverkusen,0,0
2015/16,9,5,Augsburg,Darmstadt,0,2
2015/16,9,6,Bremen,Bayern,0,1
2015/16,9,7,E. Frankfurt,Gladbach,1,5
2015/16,9,8,Köln,Hannover,0,1
2015/16,9,9,Stuttgart,Ingolstadt,1,0
2015/16,8,1,Darmstadt,Mainz,2,3
2015/16,8,2,Gladbach,Wolfsburg,2,0
2015/16,8,3,Hannover,Bremen,1,0
2015/16,8,4,Hertha,HSV,3,0
2015/16,8,5,Hoffenheim,Stuttgart,2,2
2015/16,8,6,Ingolstadt,E. Frankfurt,2,0
2015/16,8,7,Schalke,Köln,0,3
2015/16,8,8,Bayern,Dortmund,5,1
2015/16,8,9,Leverkusen,Augsburg,1,1
2015/16,7,1,Köln,Ingolstadt,1,1
2015/16,7,2,Wolfsburg,Hannover,1,1
2015/16,7,3,Stuttgart,Gladbach,1,3
2015/16,7,4,Augsburg,Hoffenheim,1,3
2015/16,7,5,Bremen,Leverkusen,0,3
2015/16,7,6,Mainz,Bayern,0,3
2015/16,7,7,HSV,Schalke,0,1
2015/16,7,8,E. Frankfurt,Hertha,1,1
2015/16,7,9,Dortmund,Darmstadt,2,2
2015/16,6,1,Bayern,Wolfsburg,5,1
2015/16,6,2,Hertha,Köln,2,0
2015/16,6,3,Ingolstadt,HSV,0,1
2015/16,6,4,Darmstadt,Bremen,2,1
2015/16,6,5,Schalke,E. Frankfurt,2,0
2015/16,6,6,Leverkusen,Mainz,1,0
2015/16,6,7,Gladbach,Augsburg,4,2
2015/16,6,8,Hannover,Stuttgart,1,3
2015/16,6,9,Hoffenheim,Dortmund,1,1
2015/16,5,1,Mainz,Hoffenheim,3,1
2015/16,5,2,Wolfsburg,Hertha,2,0
2015/16,5,3,HSV,E. Frankfurt,0,0
2015/16,5,4,Bremen,Ingolstadt,0,1
2015/16,5,5,Köln,Gladbach,1,0
2015/16,5,6,Darmstadt,Bayern,0,3
2015/16,5,7,Stuttgart,Schalke,0,1
2015/16,5,8,Dortmund,Leverkusen,3,0
2015/16,5,9,Augsburg,Hannover,2,0
2015/16,4,1,Gladbach,HSV,0,3
2015/16,4,2,Bayern,Augsburg,2,1
2015/16,4,3,Leverkusen,Darmstadt,0,1
2015/16,4,4,Hannover,Dortmund,2,4
2015/16,4,5,Hertha,Stuttgart,2,1
2015/16,4,6,Ingolstadt,Wolfsburg,0,0
2015/16,4,7,E. Frankfurt,Köln,6,2
2015/16,4,8,Hoffenheim,Bremen,1,3
2015/16,4,9,Schalke,Mainz,2,1
2015/16,3,1,Wolfsburg,Schalke,3,0
2015/16,3,2,Stuttgart,E. Frankfurt,1,4
2015/16,3,3,Augsburg,Ingolstadt,0,1
2015/16,3,4,Köln,HSV,2,1
2015/16,3,5,Mainz,Hannover,3,0
2015/16,3,6,Darmstadt,Hoffenheim,0,0
2015/16,3,7,Bayern,Leverkusen,3,0
2015/16,3,8,Dortmund,Hertha,3,1
2015/16,3,9,Bremen,Gladbach,2,1
2015/16,2,1,Hertha,Bremen,1,1
2015/16,2,2,Schalke,Darmstadt,1,1
2015/16,2,3,E. Frankfurt,Augsburg,1,1
2015/16,2,4,Köln,Wolfsburg,1,1
2015/16,2,5,Hannover,Leverkusen,0,1
2015/16,2,6,Hoffenheim,Bayern,1,2
2015/16,2,7,HSV,Stuttgart,3,2
2015/16,2,8,Ingolstadt,Dortmund,0,4
2015/16,2,9,Gladbach,Mainz,1,2
2015/16,1,1,Bayern,HSV,5,0
2015/16,1,2,Leverkusen,Hoffenheim,2,1
2015/16,1,3,Augsburg,Hertha,0,1
2015/16,1,4,Bremen,Schalke,0,3
2015/16,1,5,Mainz,Ingolstadt,0,1
2015/16,1,6,Darmstadt,Hannover,2,2
2015/16,1,7,Dortmund,Gladbach,4,0
2015/16,1,8,Wolfsburg,E. Frankfurt,2,1
2015/16,1,9,Stuttgart,Köln,1,3
2014/15,34,1,Bayern,Mainz,2,0
2014/15,34,2,Dortmund,Bremen,3,2
2014/15,34,3,Gladbach,Augsburg,1,3
2014/15,34,4,Hoffenheim,Hertha,2,1
2014/15,34,5,Hannover,Freiburg,2,1
2014/15,34,6,E. Frankfurt,Leverkusen,2,1
2014/15,34,7,HSV,Schalke,2,0
2014/15,34,8,Köln,Wolfsburg,2,2
2014/15,34,9,Paderborn,Stuttgart,1,2
2014/15,33,1,Schalke,Paderborn,1,0
2014/15,33,2,Leverkusen,Hoffenheim,2,0
2014/15,33,3,Wolfsburg,Dortmund,2,1
2014/15,33,4,Mainz,Köln,2,0
2014/15,33,5,Augsburg,Hannover,1,2
2014/15,33,6,Hertha,E. Frankfurt,0,0
2014/15,33,7,Bremen,Gladbach,0,2
2014/15,33,8,Freiburg,Bayern,2,1
2014/15,33,9,Stuttgart,HSV,2,1
2014/15,32,1,HSV,Freiburg,1,1
2014/15,32,2,Bayern,Augsburg,0,1
2014/15,32,3,Dortmund,Hertha,2,0
2014/15,32,4,Gladbach,Leverkusen,3,0
2014/15,32,5,Hannover,Bremen,1,1
2014/15,32,6,E. Frankfurt,Hoffenheim,3,1
2014/15,32,7,Stuttgart,Mainz,2,0
2014/15,32,8,Paderborn,Wolfsburg,1,3
2014/15,32,9,Köln,Schalke,2,0
2014/15,31,1,Schalke,Stuttgart,3,2
2014/15,31,2,Wolfsburg,Hannover,2,2
2014/15,31,3,Augsburg,Köln,0,0
2014/15,31,4,Hoffenheim,Dortmund,1,1
2014/15,31,5,Bremen,E. Frankfurt,1,0
2014/15,31,6,Freiburg,Paderborn,1,2
2014/15,31,7,Leverkusen,Bayern,2,0
2014/15,31,8,Mainz,HSV,1,2
2014/15,31,9,Hertha,Gladbach,1,2
2014/15,30,1,Mainz,Schalke,2,0
2014/15,30,2,Dortmund,E. Frankfurt,2,0
2014/15,30,3,Hannover,Hoffenheim,1,2
2014/15,30,4,Stuttgart,Freiburg,2,2
2014/15,30,5,HSV,Augsburg,3,2
2014/15,30,6,Köln,Leverkusen,1,1
2014/15,30,7,Bayern,Hertha,1,0
2014/15,30,8,Paderborn,Bremen,2,2
2014/15,30,9,Gladbach,Wolfsburg,1,0
2014/15,29,1,E. Frankfurt,Gladbach,0,0
2014/15,29,2,Dortmund,Paderborn,3,0
2014/15,29,3,Leverkusen,Hannover,4,0
2014/15,29,4,Hoffenheim,Bayern,0,2
2014/15,29,5,Hertha,Köln,0,0
2014/15,29,6,Freiburg,Mainz,2,3
2014/15,29,7,Augsburg,Stuttgart,2,1
2014/15,29,8,Bremen,HSV,1,0
2014/15,29,9,Wolfsburg,Schalke,1,1
2014/15,28,1,Hannover,Hertha,1,1
2014/15,28,2,Bayern,E. Frankfurt,3,0
2014/15,28,3,Schalke,Freiburg,0,0
2014/15,28,4,Gladbach,Dortmund,3,1
2014/15,28,5,Mainz,Leverkusen,2,3
2014/15,28,6,Paderborn,Augsburg,2,1
2014/15,28,7,HSV,Wolfsburg,0,2
2014/15,28,8,Köln,Hoffenheim,3,2
2014/15,28,9,Stuttgart,Bremen,3,2
2014/15,27,1,Leverkusen,HSV,4,0
2014/15,27,2,Wolfsburg,Stuttgart,3,1
2014/15,27,3,Hoffenheim,Gladbach,1,4
2014/15,27,4,Bremen,Mainz,0,0
2014/15,27,5,E. Frankfurt,Hannover,2,2
2014/15,27,6,Freiburg,Köln,1,0
2014/15,27,7,Dortmund,Bayern,0,1
2014/15,27,8,Augsburg,Schalke,0,0
2014/15,27,9,Hertha,Paderborn,2,0
2014/15,26,1,HSV,Hertha,0,1
2014/15,26,2,Hannover,Dortmund,2,3
2014/15,26,3,Freiburg,Augsburg,2,0
2014/15,26,4,Stuttgart,E. Frankfurt,3,1
2014/15,26,5,Köln,Bremen,1,1
2014/15,26,6,Paderborn,Hoffenheim,0,0
2014/15,26,7,Schalke,Leverkusen,0,1
2014/15,26,8,Mainz,Wolfsburg,1,1
2014/15,26,9,Bayern,Gladbach,0,2
2014/15,25,1,Leverkusen,Stuttgart,4,0
2014/15,25,2,Augsburg,Mainz,0,2
2014/15,25,3,Hoffenheim,HSV,3,0
2014/15,25,4,Hertha,Schalke,2,2
2014/15,25,5,Bremen,Bayern,0,4
2014/15,25,6,E. Frankfurt,Paderborn,4,0
2014/15,25,7,Dortmund,Köln,0,0
2014/15,25,8,Wolfsburg,Freiburg,3,0
2014/15,25,9,Gladbach,Hannover,2,0
2014/15,24,1,Stuttgart,Hertha,0,0
2014/15,24,2,Schalke,Hoffenheim,3,1
2014/15,24,3,Augsburg,Wolfsburg,1,0
2014/15,24,4,Hannover,Bayern,1,3
2014/15,24,5,Freiburg,Bremen,0,1
2014/15,24,6,HSV,Dortmund,0,0
2014/15,24,7,Mainz,Gladbach,2,2
2014/15,24,8,Köln,E. Frankfurt,4,2
2014/15,24,9,Paderborn,Leverkusen,0,3
2014/15,23,1,Bayern,Köln,4,1
2014/15,23,2,Dortmund,Schalke,3,0
2014/15,23,3,Leverkusen,Freiburg,1,0
2014/15,23,4,Hoffenheim,Mainz,2,0
2014/15,23,5,Hannover,Stuttgart,1,1
2014/15,23,6,Hertha,Augsburg,1,0
2014/15,23,7,E. Frankfurt,HSV,2,1
2014/15,23,8,Gladbach,Paderborn,2,0
2014/15,23,9,Bremen,Wolfsburg,3,5
2014/15,22,1,Stuttgart,Dortmund,2,3
2014/15,22,2,Schalke,Bremen,1,1
2014/15,22,3,Mainz,E. Frankfurt,3,1
2014/15,22,4,Augsburg,Leverkusen,2,2
2014/15,22,5,Freiburg,Hoffenheim,1,1
2014/15,22,6,Paderborn,Bayern,0,6
2014/15,22,7,Köln,Hannover,1,1
2014/15,22,8,HSV,Gladbach,1,1
2014/15,22,9,Wolfsburg,Hertha,2,1
2014/15,21,1,Dortmund,Mainz,4,2
2014/15,21,2,Bayern,HSV,8,0
2014/15,21,3,Leverkusen,Wolfsburg,4,5
2014/15,21,4,Gladbach,Köln,1,0
2014/15,21,5,Hoffenheim,Stuttgart,2,1
2014/15,21,6,Bremen,Augsburg,3,2
2014/15,21,7,E. Frankfurt,Schalke,1,0
2014/15,21,8,Hertha,Freiburg,0,2
2014/15,21,9,Hannover,Paderborn,1,2
2014/15,20,1,Schalke,Gladbach,1,0
2014/15,20,2,Wolfsburg,Hoffenheim,3,0
2014/15,20,3,Mainz,Hertha,0,2
2014/15,20,4,Freiburg,Dortmund,0,3
2014/15,20,5,Stuttgart,Bayern,0,2
2014/15,20,6,Köln,Paderborn,0,0
2014/15,20,7,HSV,Hannover,2,1
2014/15,20,8,Bremen,Leverkusen,2,1
2014/15,20,9,Augsburg,E. Frankfurt,2,2
2014/15,19,1,Bayern,Schalke,1,1
2014/15,19,2,Gladbach,Freiburg,1,0
2014/15,19,3,Hannover,Mainz,1,1
2014/15,19,4,E. Frankfurt,Wolfsburg,1,1
2014/15,19,5,Dortmund,Augsburg,0,1
2014/15,19,6,Hoffenheim,Bremen,1,2
2014/15,19,7,Hertha,Leverkusen,0,1
2014/15,19,8,Köln,Stuttgart,0,0
2014/15,19,9,Paderborn,HSV,0,3
2014/15,18,1,Wolfsburg,Bayern,4,1
2014/15,18,2,Schalke,Hannover,1,0
2014/15,18,3,Mainz,Paderborn,5,0
2014/15,18,4,Freiburg,E. Frankfurt,4,1
2014/15,18,5,Stuttgart,Gladbach,0,1
2014/15,18,6,HSV,Köln,0,2
2014/15,18,7,Leverkusen,Dortmund,0,0
2014/15,18,8,Bremen,Hertha,2,0
2014/15,18,9,Augsburg,Hoffenheim,3,1
2014/15,17,1,Mainz,Bayern,1,2
2014/15,17,2,Schalke,HSV,0,0
2014/15,17,3,Leverkusen,E. Frankfurt,1,1
2014/15,17,4,Augsburg,Gladbach,2,1
2014/15,17,5,Bremen,Dortmund,2,1
2014/15,17,6,Stuttgart,Paderborn,0,0
2014/15,17,7,Wolfsburg,Köln,2,1
2014/15,17,8,Hertha,Hoffenheim,0,5
2014/15,17,9,Freiburg,Hannover,2,2
2014/15,16,1,Bayern,Freiburg,2,0
2014/15,16,2,Hannover,Augsburg,2,0
2014/15,16,3,HSV,Stuttgart,0,1
2014/15,16,4,Köln,Mainz,0,0
2014/15,16,5,Dortmund,Wolfsburg,2,2
2014/15,16,6,Gladbach,Bremen,4,1
2014/15,16,7,Hoffenheim,Leverkusen,0,1
2014/15,16,8,E. Frankfurt,Hertha,4,4
2014/15,16,9,Paderborn,Schalke,1,2
2014/15,15,1,Hoffenheim,E. Frankfurt,3,2
2014/15,15,2,Schalke,Köln,1,2
2014/15,15,3,Augsburg,Bayern,0,4
2014/15,15,4,Hertha,Dortmund,1,0
2014/15,15,5,Bremen,Hannover,3,3
2014/15,15,6,Freiburg,HSV,0,0
2014/15,15,7,Mainz,Stuttgart,1,1
2014/15,15,8,Leverkusen,Gladbach,1,1
2014/15,15,9,Wolfsburg,Paderborn,1,1
2014/15,14,1,Dortmund,Hoffenheim,1,0
2014/15,14,2,Gladbach,Hertha,3,2
2014/15,14,3,Hannover,Wolfsburg,1,3
2014/15,14,4,Stuttgart,Schalke,0,4
2014/15,14,5,Köln,Augsburg,1,2
2014/15,14,6,Paderborn,Freiburg,1,1
2014/15,14,7,Bayern,Leverkusen,1,0
2014/15,14,8,HSV,Mainz,2,1
2014/15,14,9,E. Frankfurt,Bremen,5,2
2014/15,13,1,Freiburg,Stuttgart,1,4
2014/15,13,2,Schalke,Mainz,4,1
2014/15,13,3,Leverkusen,Köln,5,1
2014/15,13,4,Augsburg,HSV,3,1
2014/15,13,5,Hertha,Bayern,0,1
2014/15,13,6,Bremen,Paderborn,4,0
2014/15,13,7,Hoffenheim,Hannover,4,3
2014/15,13,8,Wolfsburg,Gladbach,1,0
2014/15,13,9,E. Frankfurt,Dortmund,2,0
2014/15,12,1,Bayern,Hoffenheim,4,0
2014/15,12,2,Schalke,Wolfsburg,3,2
2014/15,12,3,Gladbach,E. Frankfurt,1,3
2014/15,12,4,Mainz,Freiburg,2,2
2014/15,12,5,Hannover,Leverkusen,1,3
2014/15,12,6,Paderborn,Dortmund,2,2
2014/15,12,7,Köln,Hertha,1,2
2014/15,12,8,HSV,Bremen,2,0
2014/15,12,9,Stuttgart,Augsburg,0,1
2014/15,11,1,Hertha,Hannover,0,2
2014/15,11,2,Leverkusen,Mainz,0,0
2014/15,11,3,Augsburg,Paderborn,3,0
2014/15,11,4,Hoffenheim,Köln,3,4
2014/15,11,5,E. Frankfurt,Bayern,0,4
2014/15,11,6,Freiburg,Schalke,2,0
2014/15,11,7,Bremen,Stuttgart,2,0
2014/15,11,8,Wolfsburg,HSV,2,0
2014/15,11,9,Dortmund,Gladbach,1,0
2014/15,10,1,Schalke,Augsburg,1,0
2014/15,10,2,Mainz,Bremen,1,2
2014/15,10,3,Hannover,E. Frankfurt,1,0
2014/15,10,4,Stuttgart,Wolfsburg,0,4
2014/15,10,5,HSV,Leverkusen,1,0
2014/15,10,6,Bayern,Dortmund,2,1
2014/15,10,7,Gladbach,Hoffenheim,3,1
2014/15,10,8,Köln,Freiburg,0,1
2014/15,10,9,Paderborn,Hertha,3,1
2014/15,9,1,Bremen,Köln,0,1
2014/15,9,2,Dortmund,Hannover,0,1
2014/15,9,3,Augsburg,Freiburg,2,0
2014/15,9,4,Hoffenheim,Paderborn,1,0
2014/15,9,5,Hertha,HSV,3,0
2014/15,9,6,E. Frankfurt,Stuttgart,4,5
2014/15,9,7,Leverkusen,Schalke,1,0
2014/15,9,8,Wolfsburg,Mainz,3,0
2014/15,9,9,Gladbach,Bayern,0,0
2014/15,8,1,Bayern,Bremen,6,0
2014/15,8,2,Mainz,Augsburg,2,1
2014/15,8,3,Hannover,Gladbach,0,3
2014/15,8,4,Freiburg,Wolfsburg,1,2
2014/15,8,5,Stuttgart,Leverkusen,3,3
2014/15,8,6,Köln,Dortmund,2,1
2014/15,8,7,Schalke,Hertha,2,0
2014/15,8,8,HSV,Hoffenheim,1,1
2014/15,8,9,Paderborn,E. Frankfurt,3,1
2014/15,7,1,Hertha,Stuttgart,3,2
2014/15,7,2,Bayern,Hannover,4,0
2014/15,7,3,Dortmund,HSV,0,1
2014/15,7,4,Leverkusen,Paderborn,2,2
2014/15,7,5,Hoffenheim,Schalke,2,1
2014/15,7,6,Bremen,Freiburg,1,1
2014/15,7,7,E. Frankfurt,Köln,3,2
2014/15,7,8,Wolfsburg,Augsburg,1,0
2014/15,7,9,Gladbach,Mainz,1,1
2014/15,6,1,Mainz,Hoffenheim,0,0
2014/15,6,2,Schalke,Dortmund,2,1
2014/15,6,3,Freiburg,Leverkusen,0,0
2014/15,6,4,Stuttgart,Hannover,1,0
2014/15,6,5,Köln,Bayern,0,2
2014/15,6,6,Paderborn,Gladbach,1,2
2014/15,6,7,Wolfsburg,Bremen,2,1
2014/15,6,8,Augsburg,Hertha,1,0
2014/15,6,9,HSV,E. Frankfurt,1,2
2014/15,5,1,Bayern,Paderborn,4,0
2014/15,5,2,Hoffenheim,Freiburg,3,3
2014/15,5,3,Bremen,Schalke,0,3
2014/15,5,4,E. Frankfurt,Mainz,2,2
2014/15,5,5,Dortmund,Stuttgart,2,2
2014/15,5,6,Leverkusen,Augsburg,1,0
2014/15,5,7,Gladbach,HSV,1,0
2014/15,5,8,Hannover,Köln,1,0
2014/15,5,9,Hertha,Wolfsburg,1,0
2014/15,4,1,Freiburg,Hertha,2,2
2014/15,4,2,Schalke,E. Frankfurt,2,2
2014/15,4,3,Augsburg,Bremen,4,2
2014/15,4,4,Stuttgart,Hoffenheim,0,2
2014/15,4,5,HSV,Bayern,0,0
2014/15,4,6,Paderborn,Hannover,2,0
2014/15,4,7,Mainz,Dortmund,2,0
2014/15,4,8,Wolfsburg,Leverkusen,4,1
2014/15,4,9,Köln,Gladbach,0,0
2014/15,3,1,Leverkusen,Bremen,3,3
2014/15,3,2,Bayern,Stuttgart,2,0
2014/15,3,3,Dortmund,Freiburg,3,1
2014/15,3,4,Hoffenheim,Wolfsburg,1,1
2014/15,3,5,Hertha,Mainz,1,3
2014/15,3,6,Paderborn,Köln,0,0
2014/15,3,7,Gladbach,Schalke,4,1
2014/15,3,8,E. Frankfurt,Augsburg,0,1
2014/15,3,9,Hannover,HSV,2,0
2014/15,2,1,Augsburg,Dortmund,2,3
2014/15,2,2,Leverkusen,Hertha,4,2
2014/15,2,3,Wolfsburg,E. Frankfurt,2,2
2014/15,2,4,Bremen,Hoffenheim,1,1
2014/15,2,5,Stuttgart,Köln,0,2
2014/15,2,6,HSV,Paderborn,0,3
2014/15,2,7,Schalke,Bayern,1,1
2014/15,2,8,Mainz,Hannover,0,0
2014/15,2,9,Freiburg,Gladbach,0,0
2014/15,1,1,Bayern,Wolfsburg,2,1
2014/15,1,2,Hoffenheim,Augsburg,2,0
2014/15,1,3,Hannover,Schalke,2,1
2014/15,1,4,Hertha,Bremen,2,2
2014/15,1,5,E. Frankfurt,Freiburg,1,0
2014/15,1,6,Köln,HSV,0,0
2014/15,1,7,Dortmund,Leverkusen,0,2
2014/15,1,8,Paderborn,Mainz,2,2
2014/15,1,9,Gladbach,Stuttgart,1,1
2013/14,34,1,Bayern,Stuttgart,1,0
2013/14,34,2,Schalke,Nürnberg,4,1
2013/14,34,3,Leverkusen,Bremen,2,1
2013/14,34,4,Hannover,Freiburg,3,2
2013/14,34,5,Wolfsburg,Gladbach,3,1
2013/14,34,6,Hoffenheim,Braunschweig,3,1
2013/14,34,7,Mainz,HSV,3,2
2013/14,34,8,Augsburg,E. Frankfurt,2,1
2013/14,34,9,Hertha,Dortmund,0,4
2013/14,33,1,Dortmund,Hoffenheim,3,2
2013/14,33,2,Gladbach,Mainz,3,1
2013/14,33,3,Stuttgart,Wolfsburg,1,2
2013/14,33,4,Bremen,Hertha,2,0
2013/14,33,5,Nürnberg,Hannover,0,2
2013/14,33,6,Freiburg,Schalke,0,2
2013/14,33,7,HSV,Bayern,1,4
2013/14,33,8,Braunschweig,Augsburg,0,1
2013/14,33,9,E. Frankfurt,Leverkusen,0,2
2013/14,32,1,Hannover,Stuttgart,0,0
2013/14,32,2,Bayern,Bremen,5,2
2013/14,32,3,Wolfsburg,Freiburg,2,2
2013/14,32,4,Hoffenheim,E. Frankfurt,0,0
2013/14,32,5,Mainz,Nürnberg,2,0
2013/14,32,6,Hertha,Braunschweig,2,0
2013/14,32,7,Leverkusen,Dortmund,2,2
2013/14,32,8,Augsburg,HSV,3,1
2013/14,32,9,Schalke,Gladbach,0,1
2013/14,31,1,E. Frankfurt,Hannover,2,3
2013/14,31,2,Dortmund,Mainz,4,2
2013/14,31,3,Bremen,Hoffenheim,3,1
2013/14,31,4,Freiburg,Gladbach,4,2
2013/14,31,5,Augsburg,Hertha,0,0
2013/14,31,6,Braunschweig,Bayern,0,2
2013/14,31,7,HSV,Wolfsburg,1,3
2013/14,31,8,Nürnberg,Leverkusen,1,4
2013/14,31,9,Stuttgart,Schalke,3,1
2013/14,30,1,Schalke,E. Frankfurt,2,0
2013/14,30,2,Gladbach,Stuttgart,1,1
2013/14,30,3,Hannover,HSV,2,1
2013/14,30,4,Wolfsburg,Nürnberg,4,1
2013/14,30,5,Freiburg,Braunschweig,2,0
2013/14,30,6,Mainz,Bremen,3,0
2013/14,30,7,Bayern,Dortmund,0,3
2013/14,30,8,Leverkusen,Hertha,2,1
2013/14,30,9,Hoffenheim,Augsburg,2,0
2013/14,29,1,HSV,Leverkusen,2,1
2013/14,29,2,Stuttgart,Freiburg,2,0
2013/14,29,3,Bremen,Schalke,1,1
2013/14,29,4,Nürnberg,Gladbach,0,2
2013/14,29,5,Augsburg,Bayern,1,0
2013/14,29,6,E. Frankfurt,Mainz,2,0
2013/14,29,7,Dortmund,Wolfsburg,2,1
2013/14,29,8,Braunschweig,Hannover,3,0
2013/14,29,9,Hertha,Hoffenheim,1,1
2013/14,28,1,Schalke,Hertha,2,0
2013/14,28,2,Bayern,Hoffenheim,3,3
2013/14,28,3,Leverkusen,Braunschweig,1,1
2013/14,28,4,Stuttgart,Dortmund,2,3
2013/14,28,5,Wolfsburg,E. Frankfurt,2,1
2013/14,28,6,Mainz,Augsburg,3,0
2013/14,28,7,Freiburg,Nürnberg,3,2
2013/14,28,8,Gladbach,HSV,3,1
2013/14,28,9,Hannover,Bremen,1,2
2013/14,27,1,Dortmund,Schalke,0,0
2013/14,27,2,Bremen,Wolfsburg,1,3
2013/14,27,3,Braunschweig,Mainz,3,1
2013/14,27,4,Hertha,Bayern,1,3
2013/14,27,5,Nürnberg,Stuttgart,2,0
2013/14,27,6,Hoffenheim,Hannover,3,1
2013/14,27,7,Augsburg,Leverkusen,1,3
2013/14,27,8,HSV,Freiburg,1,1
2013/14,27,9,E. Frankfurt,Gladbach,1,0
2013/14,26,1,Freiburg,Bremen,3,1
2013/14,26,2,Schalke,Braunschweig,3,1
2013/14,26,3,Stuttgart,HSV,1,0
2013/14,26,4,Hannover,Dortmund,0,3
2013/14,26,5,Wolfsburg,Augsburg,1,1
2013/14,26,6,Mainz,Bayern,0,2
2013/14,26,7,Gladbach,Hertha,3,0
2013/14,26,8,Nürnberg,E. Frankfurt,2,5
2013/14,26,9,Leverkusen,Hoffenheim,2,3
2013/14,25,1,Augsburg,Schalke,1,2
2013/14,25,2,Dortmund,Gladbach,1,2
2013/14,25,3,Bremen,Stuttgart,1,1
2013/14,25,4,Hoffenheim,Mainz,2,4
2013/14,25,5,Braunschweig,Wolfsburg,1,1
2013/14,25,6,Hertha,Hannover,0,3
2013/14,25,7,Bayern,Leverkusen,2,1
2013/14,25,8,HSV,Nürnberg,2,1
2013/14,25,9,E. Frankfurt,Freiburg,1,4
2013/14,24,1,Schalke,Hoffenheim,4,0
2013/14,24,2,Gladbach,Augsburg,1,2
2013/14,24,3,Stuttgart,Braunschweig,2,2
2013/14,24,4,Hannover,Leverkusen,1,1
2013/14,24,5,Wolfsburg,Bayern,1,6
2013/14,24,6,HSV,E. Frankfurt,1,1
2013/14,24,7,Nürnberg,Bremen,0,2
2013/14,24,8,Freiburg,Dortmund,0,1
2013/14,24,9,Mainz,Hertha,1,1
2013/14,23,1,Hertha,Freiburg,0,0
2013/14,23,2,Dortmund,Nürnberg,3,0
2013/14,23,3,Leverkusen,Mainz,0,1
2013/14,23,4,Bremen,HSV,1,0
2013/14,23,5,Augsburg,Hannover,1,1
2013/14,23,6,Braunschweig,Gladbach,1,1
